Data ItemWise Report for - Telangana,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68
,21.4.1.b,Number of Female children identified with Disease,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,21.4.2.a,Number of Male children identified with Deficiency,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,21.4.2.b,Number of Female children identified with Deficiency,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,21.4.3.a,Number of Male children identified with Developmental delay,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,21.4.3.b,Number of Female children identified with Developmental delay,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,21.5.1,Number of Children Managed by Intervention - Medical,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,21.5.2,Number of Children Managed by Intervention - Surgical,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,21.5.3,Early intervention at DEIC ( District Early Intervention Centre),TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,22.1.1.a,Girls (6th -12th class) provided 4 IFA tablets in schools,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,22.1.1.b,Boys (6th -12th class) provided 4 IFA tablets in schools,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,22.1.2.a,Girls (6th -12th class) provided albendazole in schools,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,22.1.2.b,Boys (6th -12th class) provided albendazole in schools,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,22.1.3,Number of out of school adolscent girls (10-19 years) provided 4 IFA tablets at Anganwadi Centres,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,22.1.4,Number of out of school adolscent girls (10-19 years) provided albendazole at Anganwadi Centres,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,22.2.1,Number of adolescent girls provided sanitary napkin packs,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,22.2.2,Number of sanitary napkin packs sold to adolescent girls,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,22.2.3,Number of sanitary napkin packs distributed free to ASHA,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,22.2.4,Number of adolescent girls attended monthly meeting,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,23.1,Number of children covered under WIFS JUNIOR (6 - 10 years ) provided 4-5 IFA tablets in schools,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23.2,Number of children (6 - 10 years) provided albendazole in schools,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23.3,Number of out of school children (6-10 years) given 4-5 IFA tablets at Anganwadi Centres,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23.4,Number of out of school children (6-10 years) provided albendazole at Anganwadi Centres,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24.1,Total Maternal Deaths Reviewed (MDR) by CMO,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,24.2,Total Maternal Deaths Reviewed (MDR) by DM,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,24.3,Number of maternal deaths reported through Community based Maternal Death Review (CBMDR),TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,25.1.1,Number of Pregnant Women provided - Free Medicines under JSSK,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,25.1.2,Number of Pregnant Women provided - Free Diet under JSSK,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,25.1.3,Number of Pregnant Women provided - Free Diagnostics under JSSK,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,25.1.4,Number of Pregnant Women provided - Free Home to facility transport under JSSK,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,25.1.5,Number of Pregnant Women provided - Interfacility transfers when needed under JSSK,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,25.1.6,Number of Pregnant Women provided - Free Drop Back home under JSSK,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,25.2.1,Number of sick infants provided - Free Medicines under JSSK,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,25.2.2,Number of sick infants provided - Free Diagnostics under JSSK,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,25.2.3,Number of sick infants provided - Free Home to facility transport under JSSK,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,25.2.4,Number of sick infants provided - Interfacility transfers when needed under JSSK,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
,25.2.5,Number of sick infants provided - Free Drop Back home under JSSK,TOTAL,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1
JAYASHANKAR BHUPALPALLY,1.1,Total number of pregnant women registered for ANC,TOTAL,1814,1814,,79,1735,1525,1525,,72,1453,1549,1549,,87,1462,2224,2224,,68,2156,1555,1555,,26,1529,1618,1618,,28,1590,1526,1526,,74,1452,2068,2068,,81,1987,1570,1570,,59,1511,1816,1816,,55,1761,2040,2040,,68,1972,1743,1743,,73,1670,21048,21048,,770,20278
,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,1007,1007,,55,952,874,874,,48,826,900,900,,69,831,826,826,,52,774,803,803,,17,786,775,775,,14,761,828,828,,54,774,1110,1110,,63,1047,822,822,,47,775,912,912,,44,868,1092,1092,,61,1031,1174,1174,,52,1122,11123,11123,,576,10547
,1.2.1,Number of PW given TT1,TOTAL,1145,1145,,79,1066,940,940,,69,871,1030,1030,,87,943,1009,1009,,65,944,956,956,,26,930,1020,1020,,28,992,900,900,,69,831,1199,1199,,81,1118,922,922,,59,863,1016,1016,,55,961,1158,1158,,68,1090,1142,1142,,73,1069,12437,12437,,759,11678
,1.2.2,Number of PW given TT2,TOTAL,843,843,,74,769,891,891,,66,825,868,868,,64,804,973,973,,70,903,799,799,,15,784,765,765,,15,750,798,798,,64,734,927,927,,61,866,896,896,,64,832,961,961,,53,908,910,910,,61,849,1113,1113,,53,1060,10744,10744,,660,10084
,1.2.3,Number of PW given TT Booster,TOTAL,144,144,,0,144,451,451,,66,385,311,311,,29,282,65,65,,0,65,135,135,,0,135,148,148,,1,147,86,86,,,86,109,109,,4,105,112,112,,,112,121,121,,8,113,173,173,,0,173,114,114,,3,111,1969,1969,,111,1858
,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1926,1926,,80,1846,1671,1671,,71,1600,4620,4620,,83,4537,10667,10667,,81,10586,4803,4803,,13,4790,4322,4322,,18,4304,2770,2770,,63,2707,8083,8083,,66,8017,5698,5698,,59,5639,5601,5601,,47,5554,6446,6446,,38,6408,7222,7222,,61,7161,63829,63829,,680,63149
,1.2.5,Number of PW given 360 Calcium tablets,TOTAL,973,973,,,973,2619,2619,,,2619,3914,3914,,,3914,10004,10004,,0,10004,4909,4909,,13,4896,3495,3495,,5,3490,2182,2182,,73,2109,1798,1798,,67,1731,626,626,,50,576,5056,5056,,43,5013,5936,5936,,38,5898,6884,6884,,38,6846,48396,48396,,327,48069
,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,47,47,,,47,43,43,,,43,39,39,,,39,79,79,,0,79,2109,2109,,0,2109,143,143,,0,143,183,183,,33,150,700,700,,37,663,148,148,,29,119,95,95,,23,72,258,258,,30,228,478,478,,3,475,4322,4322,,155,4167
,1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,764,764,,56,708,768,768,,71,697,711,711,,73,638,816,816,,71,745,683,683,,9,674,699,699,,13,686,829,829,,61,768,990,990,,79,911,847,847,,54,793,773,773,,96,677,803,803,,26,777,1080,1080,,31,1049,9763,9763,,640,9123
,1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,16,16,,,16,17,17,,,17,74,74,,,74,32,32,,,32,43,43,,0,43,23,23,,0,23,10,10,,,10,57,57,,,57,68,68,,,68,33,33,,,33,23,23,,0,23,19,19,,0,19,415,415,,0,415
,1.3.1,New cases of PW with hypertension detected,TOTAL,9,9,,,9,15,15,,,15,11,11,,,11,23,23,,,23,10,10,,0,10,8,8,,0,8,14,14,,,14,122,122,,,122,42,42,,,42,45,45,,,45,37,37,,0,37,2,2,,0,2,338,338,,0,338
,1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,6,6,,,6,15,15,,,15,11,11,,,11,13,13,,,13,2,2,,0,2,6,6,,0,6,4,4,,,4,14,14,,,14,10,10,,,10,27,27,,,27,48,48,,0,48,12,12,,0,12,168,168,,0,168
,1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,2,2,,,2,2,2,,,2,0,0,,,0,0,0,,,0,3,3,,0,3,7,7,,0,7
,1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,287,287,,,287,346,346,,,346,1009,1009,,,1009,357,357,,,357,429,429,,6,423,851,851,,13,838,611,611,,,611,1045,1045,,,1045,673,673,,,673,1029,1029,,,1029,432,432,,1,431,772,772,,4,768,7841,7841,,24,7817
,1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,701,701,,5,696,815,815,,0,815,1121,1121,,0,1121,821,821,,0,821,1332,1332,,14,1318,1350,1350,,3,1347,2046,2046,,60,1986,6821,6821,,74,6747,1636,1636,,83,1553,740,740,,0,740,777,777,,0,777,973,973,,230,743,19133,19133,,469,18664
,1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,240,240,,5,235,191,191,,0,191,232,232,,0,232,266,266,,0,266,318,318,,0,318,521,521,,0,521,986,986,,1,985,1159,1159,,,1159,223,223,,,223,195,195,,0,195,251,251,,0,251,93,93,,0,93,4675,4675,,6,4669
,1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,6,6,,,6,11,11,,,11,0,0,,,0,1,1,,,1,11,11,,,11,2,2,,,2,544,544,,,544,63,63,,,63,912,912,,,912,9,9,,,9,13,13,,,13,23,23,,1,22,1595,1595,,1,1594
,1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,47,47,,,47,45,45,,,45,63,63,,,63,48,48,,,48,46,46,,,46,55,55,,,55,48,48,,,48,51,51,,,51,48,48,,,48,0,0,,,0,0,0,,,0,0,0,,0,0,451,451,,0,451
,1.5.2,Number of PW tested positive for GDM,TOTAL,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,2,2,,,2,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,0,0,2,2,,0,2
,1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,0,0,0,0,,0,0
,1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,37,37,,0,37,12,12,,0,12,22,22,,0,22,12,12,,0,12,52,52,,0,52,36,36,,0,36,11,11,,,11,3,3,,,3,0,0,,,0,0,0,,0,0,0,0,,0,0,5,5,,0,5,190,190,,0,190
,1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,31,31,,,31,7,7,,,7,10,10,,,10,12,12,,,12,52,52,,0,52,5,5,,0,5,5,5,,,5,0,0,,,0,0,0,,,0,2,2,,,2,0,0,,0,0,3,3,,0,3,127,127,,0,127
,1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,98,98,,,98,21,21,,,21,630,630,,,630,70,70,,,70,85,85,,,85,33,33,,,33,510,510,,25,485,84,84,,,84,359,359,,,359,85,85,,,85,56,56,,,56,477,477,,0,477,2508,2508,,25,2483
,1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,46,46,,,46,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,269,269,,0,269,315,315,,0,315
,1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,290,290,,0,290,290,290,,0,290
,1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,0,0,0,0,,0,0
,1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,0,0,0,0,,0,0
,2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,6,6,,,6,2,2,,,2,7,7,,,7,1,1,,,1,0,0,,0,0,2,2,,0,2,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,0,0,0,0,,0,0,18,18,,0,18
,2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,0,0,,,0,0,0,,,0,0,0,,,0,1,1,,,1,1,1,,1,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,0,0,0,0,,0,0,2,2,,1,1
,2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,0,0,0,0,,0,0,14,14,,,14,0,0,,,0,6,6,,,6,0,0,,,0,0,0,,0,0,9,9,,0,9,29,29,,0,29
,2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,6,6,,0,6,1,1,,0,1,18,18,,,18,1,1,,,1,1,1,,,1,0,0,,,0,0,0,,0,0,13,13,,0,13,40,40,,0,40
,2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,525,310,215,5,520,609,391,218,5,604,546,322,224,7,539,597,379,218,4,593,664,413,251,7,657,661,436,225,5,656,1776,425,1351,5,1771,631,409,222,,631,596,441,155,,596,542,341,201,,542,507,323,184,0,507,557,380,177,0,557,8211,4570,3641,38,8173
,2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,265,125,140,5,260,302,165,137,5,297,301,158,143,7,294,337,195,142,4,333,362,211,151,0,362,399,255,144,2,397,1131,293,838,5,1126,354,210,144,,354,367,274,93,,367,316,191,125,,316,288,178,110,0,288,330,220,110,0,330,4752,2475,2277,28,4724
,2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,6,6,,,6,10,10,,,10,2,2,,,2,20,20,,,20,18,18,,0,18,69,69,,0,69,37,37,,,37,42,42,,,42,59,59,,,59,10,10,,,10,43,43,,0,43,124,124,,0,124,440,440,,0,440
,3.1,Total C -Section deliveries performed,TOTAL,269,194,75,,269,311,230,81,,311,272,191,81,,272,299,223,76,,299,333,233,100,,333,319,238,81,,319,723,210,513,,723,328,250,78,,328,305,243,62,,305,264,188,76,,264,260,186,74,,260,262,195,67,0,262,3945,2581,1364,0,3945
,3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,23,23,,,23,23,23,,,23,20,20,,,20,0,0,,,0,17,17,,,17,0,0,,,0,100,100,,,100,35,35,,,35,39,39,,,39,0,0,,,0,0,0,,,0,49,49,,0,49,306,306,,0,306
,4.1.1.a,Live Birth - Male,TOTAL,322,210,112,2,320,347,234,113,3,344,330,214,116,3,327,362,249,113,2,360,430,299,131,5,425,405,288,117,3,402,984,281,703,,984,361,246,115,5,356,352,271,81,2,350,319,214,105,8,311,284,188,96,1,283,317,225,92,1,316,4813,2919,1894,35,4778
,4.1.1.b,Live Birth - Female,TOTAL,288,185,103,2,286,313,208,105,2,311,306,198,108,4,302,326,221,105,2,324,381,261,120,3,378,401,293,108,2,399,896,248,648,,896,346,239,107,5,341,325,251,74,2,323,299,203,96,1,298,262,174,88,2,260,301,216,85,0,301,4444,2697,1747,25,4419
,4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,0,0,,,0,11,11,,,11,2,2,,,2,6,6,,,6,8,8,,0,8,37,37,,0,37,1,1,,,1,1,1,,,1,2,2,,,2,10,10,,,10,0,0,,0,0,0,0,,0,0,78,78,,0,78
,4.1.3,Still Birth,TOTAL,15,15,,1,14,1,1,,,1,10,10,,,10,0,0,,,0,4,4,,0,4,4,4,,0,4,1,1,,,1,2,2,,,2,2,2,,,2,0,0,,,0,0,0,,0,0,1,1,,0,1,40,40,,1,39
,4.2,Abortion (spontaneous),TOTAL,1,1,,,1,1,1,,,1,4,4,,,4,3,3,,,3,2,2,,0,2,1,1,,0,1,2,2,,,2,4,4,,,4,10,10,,,10,1,1,,,1,2,2,,0,2,4,4,,0,4,35,35,,0,35
